timestamp,device_id,site,sensor_type,value,unit,anomaly
2026-09-08T00:00:00Z,sm-001,metro-core,air_quality,15.7,ug/m3,
2026-09-08T00:00:00Z,sm-002,metro-core,temperature,18.8,C,
2026-09-08T00:00:00Z,sm-003,metro-core,noise,43.8,dB,
2026-09-08T00:00:00Z,sm-004,riverside-park,air_quality,9.0,ug/m3,
2026-09-08T00:00:00Z,sm-005,riverside-park,temperature,16.5,C,
2026-09-08T00:00:00Z,sm-006,riverside-park,noise,65.2,dB,spike
2026-09-08T00:00:00Z,sm-007,north-industrial,air_quality,24.8,ug/m3,
2026-09-08T00:00:00Z,sm-008,north-industrial,temperature,18.9,C,
2026-09-08T00:00:00Z,sm-009,north-industrial,noise,42.5,dB,
2026-09-08T00:10:00Z,sm-001,metro-core,air_quality,14.1,ug/m3,
2026-09-08T00:10:00Z,sm-002,metro-core,temperature,18.3,C,
2026-09-08T00:10:00Z,sm-003,metro-core,noise,42.3,dB,
2026-09-08T00:10:00Z,sm-004,riverside-park,air_quality,8.3,ug/m3,
2026-09-08T00:10:00Z,sm-005,riverside-park,temperature,15.9,C,
2026-09-08T00:10:00Z,sm-006,riverside-park,noise,37.5,dB,
2026-09-08T00:10:00Z,sm-007,north-industrial,air_quality,29.2,ug/m3,
2026-09-08T00:10:00Z,sm-008,north-industrial,temperature,18.4,C,
2026-09-08T00:10:00Z,sm-009,north-industrial,noise,40.7,dB,
2026-09-08T00:20:00Z,sm-001,metro-core,air_quality,14.4,ug/m3,
2026-09-08T00:20:00Z,sm-002,metro-core,temperature,17.2,C,
2026-09-08T00:20:00Z,sm-003,metro-core,noise,44.2,dB,
2026-09-08T00:20:00Z,sm-004,riverside-park,air_quality,7.9,ug/m3,
2026-09-08T00:20:00Z,sm-005,riverside-park,temperature,15.2,C,
2026-09-08T00:20:00Z,sm-006,riverside-park,noise,36.1,dB,
2026-09-08T00:20:00Z,sm-007,north-industrial,air_quality,30.8,ug/m3,
2026-09-08T00:20:00Z,sm-008,north-industrial,temperature,18.8,C,
2026-09-08T00:20:00Z,sm-009,north-industrial,noise,49.2,dB,passby
2026-09-08T00:30:00Z,sm-001,metro-core,air_quality,14.4,ug/m3,
2026-09-08T00:30:00Z,sm-002,metro-core,temperature,18.4,C,
2026-09-08T00:30:00Z,sm-003,metro-core,noise,57.4,dB,passby
2026-09-08T00:30:00Z,sm-004,riverside-park,air_quality,8.2,ug/m3,
2026-09-08T00:30:00Z,sm-005,riverside-park,temperature,15.7,C,
2026-09-08T00:30:00Z,sm-006,riverside-park,noise,35.6,dB,
2026-09-08T00:30:00Z,sm-007,north-industrial,air_quality,33.1,ug/m3,
2026-09-08T00:30:00Z,sm-008,north-industrial,temperature,19.0,C,
2026-09-08T00:30:00Z,sm-009,north-industrial,noise,42.9,dB,
2026-09-08T00:40:00Z,sm-001,metro-core,air_quality,15.9,ug/m3,
2026-09-08T00:40:00Z,sm-002,metro-core,temperature,17.6,C,
2026-09-08T00:40:00Z,sm-003,metro-core,noise,43.6,dB,
2026-09-08T00:40:00Z,sm-004,riverside-park,air_quality,8.3,ug/m3,
2026-09-08T00:40:00Z,sm-005,riverside-park,temperature,15.6,C,
2026-09-08T00:40:00Z,sm-006,riverside-park,noise,37.3,dB,
2026-09-08T00:40:00Z,sm-007,north-industrial,air_quality,25.3,ug/m3,
2026-09-08T00:40:00Z,sm-008,north-industrial,temperature,18.1,C,
2026-09-08T00:40:00Z,sm-009,north-industrial,noise,44.5,dB,
2026-09-08T00:50:00Z,sm-001,metro-core,air_quality,15.7,ug/m3,
2026-09-08T00:50:00Z,sm-002,metro-core,temperature,17.8,C,
2026-09-08T00:50:00Z,sm-003,metro-core,noise,44.9,dB,
2026-09-08T00:50:00Z,sm-004,riverside-park,air_quality,7.7,ug/m3,
